Ord,Blk,Plot,Col,Row,Clone,1DBH15,2DBH15,3DBH15,Plus Tree 15,Root collar Weevil 15,Notes 2015,1DBH14,2DBH14,3DBH14,1HT14,2HT14,3HT14,RCW14,Stems14,Status14,1DBH13,2DBH13,3DBH13,1HT13,2HT13,3HT13,1DBH12,2DBH12,3DBH12,1HT12,1HT11,1HT10
74,1,33,9,2,66,4.8,4.2,,1,3,4.1/4.3,4.1,3.5,,29,28,,0,2,1,2.8,2.2,1,22,20,18,1.6,1.1,0.7,14.5,8.5,2.7
75,2,34,9,3,63,3.8,,,0,1,,3.2,,,27,,,0,1,1,2.3,,,22.5,,,1.3,,,14.5,9.0,4.2
76,2,34,9,4,63,3.6,3.6,,0,3,"3.5/3.7, 3.5/3.8",3.2,3.2,,31,30,,0,2,1,2.5,2.4,,22,21,,1.4,1.3,,16,9.7,4.1
77,3,35,9,5,76,2.9,2.9,,0,2,"2.8/3.2, 2.8/3.1",2.8,2.8,,27,25,,0,2,1,2.2,2,,19.5,19.5,,1.3,1.1,,13,7.3,3.3
78,3,35,9,6,76,3.3,2.9,,0,1,2.8/3.1,3.1,2.7,,26,25,,0,2,1,2.4,2,,20.5,20.5,,1.5,1.3,,14,8.0,3.7
79,4,36,9,7,70,4.6,,,0,3,,3.7,,,29,,,0,1,1,2.5,,,21,,,1.5,,,15,9.5,2.7
80,4,36,9,8,70,2.0,,,0,2,,1.6,,,21.5,,,0,1,1,1.1,,,14,,,0.5,,,10,4.4,4.3
81,5,100,9,9,74,5.6,2.2,,1,3,5.4/5.8,4.3,1.9,,30,24,,0,2,1,3.3,1.3,,25,20,,2.1,,,16,9.5,4.5
82,1,40,10,1,63,4.0,,,0,3,3.9/4.1,3.2,,,25,,,0,1,1,2.1,,,19,,,0.9,,,11.5,6.2,2.4
83,1,40,10,2,63,3.2,1.4,,0,1,3.1/3.5,2.8,1.3,,27,16,,0,2,1,1.8,1.1,,20.5,14,,0.9,0.7,,12.5,5.8,1.9
84,2,39,10,3,69,5.0,,,1,1,4.6/5.5,4.3,,,30,,,0,1,1,3.2,,,23,,,2.1,,,15.6,9.9,4.5
85,2,39,10,4,69,4.5,,,1,1,4.1/4.9,3.8,,,32,,,0,1,1,2.8,,,23.5,,,1.4,,,16,8.3,3.6
86,3,38,10,5,63,2.8,,,0,2,2.7/3.0,2.5,,,28.5,,,0,1,1,1.7,,,19,,,0.8,,,12,4.9,1.5
87,3,38,10,6,63,4.2,,,0,1,4.1/4.4,3.6,,,31,,,0,1,1,2.7,,,24,,,1.4,,,16.5,7.7,3.7
88,4,37,10,7,73,4.0,,,0,2,,3.5,,,29,,,0,1,1,2.3,,,21.5,,,1.1,0.7,,13,7.2,2.0
89,5,104,10,8,75,2.9,2.9,,0,2,2.8/3.1,2.8,2.3,,28,26,,0,2,1,2.2,1.7,,21,20,,1,0.8,,13,6.8,2.5
90,4,37,10,9,73,4.6,4.4,2.1,1,1,,3.8,3.5,2.1,28,26,,0,3,1,2.7,2.2,1.7,23,19,19,1.5,1.1,0.9,14.8,8.4,2.9
91,1,41,11,1,70,4.9,,,1,1,,4,,,26,,,0,1,1,2.7,,,20,,,1.4,,,13,7.8,3.1
92,1,41,11,2,70,5.3,,,1,1,5.2/5.5,4.5,,,31,,,0,1,1,3.2,,,23,,,1.9,,,16.5,9.4,3.1
93,2,42,11,3,74,4.5,,,1,3,4.3/4.8,3.8,,,29,,,0,1,1,2.7,,,22.5,,,1.4,,,15,7.8,3.0
