Col,Row,stems2015,Y7 MAI BA sfpa Blks,Y7 MAI BA sfpa DZ,"Yr7 MAI BA15
PA(sf)",Yr7 BA15 PA(sf),Yr7BA15AI,Y7 1DBH15 (in),Y7 2DBH5 (in),Y7 3DBH15 (in),"Root collar Weevil
 (1,2,3)",Plus Tree,Y6 MAI BA sfpa Blks,Y6 MAI BA sfpa DZ,"Yr6 MAI BA14
PA(sf)",Yr6 BA14 PA(sf),Yr6BA14AI,Yr6 1HT MAI,Y6 1DBH14 (in),Y6 2DBH14 (in),Y6 3DBH14 (in),Y6 1HT14 (ft),Y6 2HT14 (ft),Yr6 3HT14 (ft),Notes14,DC DBH,DC Ht,"Yr5 MAI BA13
PA(sf)",Yr5BA13AI,Yr5 BA13 PA(sf),Yr5 1HT MAI,Yr5 1DBH13 (in),Yr5 2DBH13 (in),Yr5 3DBH13 (in),Yr5 1HT13 (ft),Yr5 2HT13 (ft),Yr5 3HT13 (ft),"Yr4 MAI BA12
PA(sf)",Yr4BA12AI,Yr4 BA12 PA(sf),Yr4 1DBH12 (in),Yr4 2DBH12 (in),Yr4 3DBH12 (in),Yr4 1HT12 (ft),Yr4 2HT12 (ft),Yr4 3HT12 (ft),"Yr3 MAI BA11
PA(sf)",Yr3 BA11 PA(sf),Yr3 1DBH11 (in),Yr3 2DBH11 (in),Yr3 3DBH11 (in),Yr3 1Ht11 (ft) ,Yr3 2Ht11 (ft) ,Yr3 3Ht11 (ft),Yr2 Ht10 (ft)
10,5,1,9.0,9.0,9.0,62.8,25.8,4.3,,,1,0,6.2,6.2,6.2,37.0,15.7,4.3,3.3,,,26.0,,,,0.8,2,4.2,12.5,21.2,4.8,2.5,,,24.0,,,2.2,,8.7,1.6,,,16.4,,,1.1,3.4,1,,,12.5,,,7.2
10,6,2,19.9,19.9,19.9,139.2,51.6,5.0,4.0,,1,0,14.6,14.6,14.6,87.6,38.6,4.5,4.1,3.0,,27.0,25.0,,,1,2,9.8,29.7,49.0,5.0,3.1,2.2,,25.0,23.0,,4.8,,19.3,2.0,1.3,,17.4,,,1.4,4.1,1.1,,,13.8,,,8.4
10,7,1,9.0,9.0,9.0,62.8,21.2,4.3,,,3,0,6.9,6.9,6.9,41.6,15.0,4.3,3.5,,,26.0,,,,0.7,3,5.3,16.8,26.6,4.6,2.8,,,23.0,,,2.5,,9.8,1.7,,,16.7,,,1.1,3.4,1,,,11.5,,,6.8
10,8,1,1.9,1.9,1.9,13.6,4.9,2.0,,,3,0,1.4,1.4,1.4,8.7,1.1,3.3,1.6,,,20.0,,,,0.1,6,1.5,5.5,7.6,2.8,1.5,,,14.0,,,0.5,,2.2,0.8,,,11.5,,,0.3,0.8,0.5,,,8.7,,,5.8
10,9,1,14.1,14.1,14.1,99.0,36.2,5.4,,,1,0,10.5,10.5,10.5,62.8,32.2,4.2,4.3,,,25.0,,,,1.3,4,6.1,17.0,30.5,4.2,3.0,,,21.0,,,3.4,,13.6,2.0,,,15.2,,,2.2,6.7,1.4,,,12.8,,,8.5
11,1,1,13.6,13.6,13.6,95.3,38.3,5.3,,,1,0,9.5,9.5,9.5,57.1,28.5,4.8,4.1,,,29.0,,,,1.2,6.5,5.7,16.3,28.5,4.5,2.9,,,22.5,,,3.1,,12.3,1.9,,,15.7,,,1.4,4.1,1.1,,,11.5,,,6.9
11,2,1,11.6,11.6,11.6,81.5,24.4,4.9,,,1,0,9.5,9.5,9.5,57.1,20.1,4.2,4.1,,,25.0,,,,0.8,3.5,7.4,20.5,37.0,4.3,3.3,,,21.5,,,4.1,,16.4,2.2,,,17.2,,,2.5,7.6,1.5,,,13.8,,,8.9
11,3,1,8.6,8.6,8.6,59.9,15.9,4.2,,,3,0,7.3,7.3,7.3,44.0,21.0,3.8,3.6,,,23.0,,,,1,3.5,4.6,13.1,22.9,3.9,2.6,,,19.5,,,2.5,,9.8,1.7,,,16.5,,,1.4,4.1,1.1,,,12.8,,,8.3
11,4,1,2.6,2.6,2.6,18.0,5.7,2.3,,,1,0,2.0,2.0,2.0,12.3,0.0,3.0,1.9,,,18.0,,,,0,5,2.5,11.6,12.3,2.6,1.9,,,13.0,,,0.2,,0.7,0.4,0.2,,10.0,,,0.1,0.3,0.2,0.2,,6.2,6.2,,3.9
11,5,2,7.7,7.7,7.7,53.8,20.4,3.6,1.7,,1,0,5.6,5.6,5.6,33.4,17.0,4.2,2.9,1.2,,25.0,,,,0.7,6,3.3,8.8,16.4,3.8,2.2,,,19.0,,,1.9,,7.6,1.5,,,14.0,,,0.9,2.7,0.9,,,11.0,,,7.3
11,6,1,4.7,4.7,4.7,32.6,9.7,3.1,,,2,0,3.8,3.8,3.8,22.9,10.7,3.7,2.6,,,22.0,,,,0.7,5.5,2.5,6.5,12.3,3.3,1.9,,,16.5,,,1.4,,5.7,1.3,,,13.7,,,0.6,1.7,0.7,,,10.2,,,6.0
11,7,,,0.0,0.0,0.0,0.0,,,,1,0,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,
11,8,,,0.0,0.0,0.0,0.0,,,,1,0,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,2.3
11,9,,,0.0,0.0,0.0,0.0,,,,1,0,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,
11,10,,,0.0,0.0,0.0,0.0,,,,1,0,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,
,100,,,,,,,,,,,,,0,,,,,0,94,count,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,
"U07s-2009 McGovern Alba  83XAA04 Rooted pots transplanted (6/19/09), ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
